Date,Close/Last,Volume,Open,High,Low
07/17/2020,333,72901,330.25,334.75,330.25
07/16/2020,330.25,90784,326,333.25,326
07/15/2020,326.25,88589,326,328.75,322.75
07/14/2020,334.75,152,334,336.5,324.5
07/13/2020,334,437,335.25,337.25,332
07/10/2020,340.5,796,350.25,352,340
07/09/2020,351.25,495,349,356.5,348.25
07/08/2020,348.25,352,343.5,348.5,341
07/07/2020,345,1273,347.5,347.5,341.75
07/06/2020,346.5,2028,348.5,349,345.25
07/02/2020,342.5,2346,347.5,350.25,342.25
07/01/2020,348.25,4190,338.5,351.25,337.5
06/30/2020,338.5,20540,325.25,342,323.75
06/29/2020,326.25,144934,323,326.5,322.75
06/26/2020,317,194086,319,319.75,313.5
06/25/2020,317.25,171012,323.5,324.25,315
06/24/2020,324.25,153441,324.5,329,323.75
06/23/2020,325,158872,327.5,327.5,321.25
06/22/2020,328.25,111277,332,332.25,328
06/19/2020,332.5,153337,329.75,333.75,327.5
06/18/2020,331,184725,329.75,333.75,328.75
06/17/2020,330.25,203074,328,331.25,325
06/16/2020,329,211857,331.75,334.5,328
06/15/2020,329.25,158853,329.25,330,325.5
06/12/2020,330,219907,329.5,333,328.25
06/11/2020,329.75,242444,326,331,325.25
06/10/2020,326.25,211578,327.25,328,324.25
06/09/2020,327.5,225243,332.25,334,326.75
06/08/2020,333.75,177801,333.5,334.75,331
06/05/2020,331.25,191222,328.75,332.5,328.25
06/04/2020,329,138984,324.25,329.5,324
06/03/2020,324,114178,324.25,324.5,321.25
06/02/2020,324.25,117927,323.5,325.25,322
06/01/2020,323.25,135430,325.5,327.75,319.25
05/29/2020,325.75,170657,327.5,329.5,323.25
05/28/2020,327.5,225308,320.25,330.75,319.5
05/27/2020,320.5,63042,320,321.75,319.25
05/26/2020,319,132427,316.75,323,316.5
05/22/2020,318,86246,317.75,319,316
05/21/2020,317.75,104099,319,320.25,316.25
05/20/2020,319.5,138700,321.25,321.5,317.25
05/19/2020,321.25,116289,320.75,325.5,320.5
05/18/2020,320.75,87593,320,322,318
05/15/2020,319.25,91454,317.75,320.5,316.75
05/14/2020,321.25,62,321.25,321.25,321.25
05/13/2020,320.25,91,323.5,323.5,320
05/12/2020,323.75,274,318.75,324.5,312.75
05/11/2020,318.5,333,320,322.25,318
05/08/2020,319,1065,317.75,321.75,317.5
05/07/2020,316,1076,313.5,318,313.25
05/06/2020,311.75,522,315,315,311
05/05/2020,313,856,310.5,314.75,310.5
05/04/2020,310.75,2442,309.5,310,305.5
05/01/2020,310.75,3512,311,311.5,308
04/30/2020,311.5,10307,305.25,313,303.5
04/29/2020,304.5,118906,302.75,308.75,300.25
04/28/2020,302.75,126271,305,308.5,301.25
04/27/2020,305.5,88023,315,315.75,304.25
04/24/2020,315.75,95097,319.25,320.75,312
04/23/2020,319.25,120724,317,323.5,315
04/22/2020,317.5,118649,310,320.25,308.25
04/21/2020,309.25,162602,314.25,316.25,301
04/20/2020,314.25,130021,322.5,323.25,313.5
04/17/2020,322.25,85312,319.75,325.5,319.5
04/16/2020,319.75,118287,318.75,323,317.75
04/15/2020,319.25,140829,326,326.75,317.5
04/14/2020,326,170899,331.25,332,325.75
04/13/2020,331.5,113422,332.25,334,326.5
04/09/2020,331.75,149687,330.75,333.5,328
04/08/2020,330,131551,332,334,328.25
04/07/2020,331.5,135987,328,335.5,328
04/06/2020,327.75,95376,329.75,331.75,325.5
04/03/2020,330.75,147431,334.5,338.5,328
04/02/2020,333.5,135548,335,343.25,333
04/01/2020,334.75,139005,341.25,342.75,333.5
03/31/2020,340.75,192229,341.75,344.75,333.5
03/30/2020,341.25,92080,343,346.75,340
03/27/2020,346,102199,348.5,350,342.5
03/26/2020,348.75,103100,348.25,349.25,343.75
03/25/2020,348.5,107365,347.5,352.75,345.75
03/24/2020,347.25,117573,343.5,350.5,338
03/23/2020,343.5,104834,340.25,345.5,338.25
03/20/2020,343.75,175220,346.5,356.75,342.25
03/19/2020,345.5,210654,336.5,354.75,336.5
03/18/2020,335.25,229884,344,345.25,332
03/17/2020,344,204696,355.25,356.75,342.75
03/16/2020,354.75,170520,362.5,367.75,354
03/13/2020,370.75,118,370,375.5,370
03/12/2020,369.75,342,377.5,377.5,367
03/11/2020,379.25,722,380.25,380.5,377
03/10/2020,380,495,379,381.5,377.5
03/09/2020,374.25,688,372,377.5,368.5
03/06/2020,377.25,1233,383.75,385.5,377
03/05/2020,384.5,1763,385.5,385.75,382
03/04/2020,387,3055,382,388.5,380
03/03/2020,381.75,3194,375.75,383.75,375.75
03/02/2020,374.75,5926,370.75,375.75,372.5
02/28/2020,366.5,17973,364.5,367.25,362.75
02/27/2020,364.5,151508,368.75,370,361.75
02/26/2020,370.5,250650,372,374,368.25
02/25/2020,372.5,97266,373,374.75,371.25
02/24/2020,372.25,139812,376.25,376.25,370
02/21/2020,377,145754,378.25,380.5,376.25
02/20/2020,378.5,153934,380.25,380.25,378.25
02/19/2020,380.5,133149,382.25,382.75,378.5
02/18/2020,383,194910,378.5,383.25,378
02/14/2020,377.75,203519,379.5,381.5,376.25
02/13/2020,379.5,185648,382.25,382.75,379
02/12/2020,383,222274,379.75,383.75,378.25
02/11/2020,379.75,181378,381,382,378
02/10/2020,381.75,199573,383.25,383.5,379
02/07/2020,383.5,235786,380.25,385,380
02/06/2020,379.25,173790,380.25,381.75,376
02/05/2020,380.75,108750,381.5,383.25,379.5
02/04/2020,382.25,160592,378.25,383.5,378.25
02/03/2020,378.75,189673,380.5,382,376.5
01/31/2020,381.25,136103,381.5,382.75,379.75
01/30/2020,379.5,144240,384.5,385,378.5
01/29/2020,384.25,121289,385.5,388.25,382.75
01/28/2020,386.5,224825,382.5,387,378.5
01/27/2020,380.5,242410,384.25,384.75,377.25
01/24/2020,387.25,184087,393.25,393.25,386.5
01/23/2020,393.75,244067,388.5,394,387.5
01/22/2020,388.75,142431,387.5,391,386.75
01/21/2020,387.5,168620,389,389.25,384.25
01/17/2020,389.25,275953,377,389.5,376.75
01/16/2020,375.5,213486,387.25,387.75,375.25
01/15/2020,387.5,129405,388.75,390.25,386.5
01/14/2020,389,101032,389.25,390.5,388.25
01/13/2020,389.5,123587,388.5,389.5,388.25
01/10/2020,385.75,206470,383.25,386.75,376.5
01/09/2020,383.25,114754,383.75,387,382.25
01/08/2020,384.25,117017,384,385.5,382.25
01/07/2020,384.5,81838,385,385.75,383.5
01/06/2020,384.75,97994,385.25,385.75,384.5
01/03/2020,386.5,112048,391.5,392,385.5
01/02/2020,391.5,92345,387.75,392,387.25
12/31/2019,387.75,72989,388.25,389.75,386.25
12/30/2019,388.25,107198,389.25,392,386.75
12/27/2019,390,73843,388,391,388
12/26/2019,388.5,42713,388,389,386.5
12/24/2019,387.5,44328,388.5,389,387
12/23/2019,388.75,71412,388,390.25,387.25
12/20/2019,387.75,68692,386.5,389.5,386
12/19/2019,386.5,84372,387,389,385
12/18/2019,387,114382,389.25,390,385.75
12/17/2019,390,105079,389.5,389.75,389.25
12/16/2019,388,164623,383.5,389.5,383.25
12/13/2019,366.25,88,373.75,374.5,366.25
12/12/2019,367,664,358.25,368.75,358.25
12/11/2019,357.75,259,363,363,357
12/10/2019,363.25,888,365.75,367,362.5
12/09/2019,365.75,639,366.5,368,365
12/06/2019,366.5,960,366.25,367.25,364.75
12/05/2019,365.5,3029,368.5,369.75,365.25
12/04/2019,368.75,2978,371.75,373.5,367.75
12/03/2019,372,4939,373.75,376,371.5
12/02/2019,373.5,6189,374.5,375.5,371.5
11/29/2019,371.25,15409,365.75,372.25,365
11/27/2019,362.75,157745,367.25,368.75,362.25
11/26/2019,367.5,182344,369.75,370.5,367
11/25/2019,370.5,171835,368.75,372.75,368.25
11/22/2019,368.75,188613,368,370.25,367.5
11/21/2019,368.5,131462,366.75,369.75,366.25
11/20/2019,366.75,274150,366,367.5,365.75
11/19/2019,370,185640,367.75,373,367.75
11/18/2019,367.75,182872,371,371.75,367.5
11/15/2019,371.25,126643,375.5,376.5,370.75
11/14/2019,375.75,131876,375.25,377.5,374.5
11/13/2019,375.25,178444,377,377.75,375
11/12/2019,377.75,203568,373.5,378,372.75
11/11/2019,373.25,186700,376,377,372.5
11/08/2019,377.25,316923,375.25,383.75,372.5
11/07/2019,375.25,194440,379.25,380,373.75
11/06/2019,378.75,170438,382.25,382.5,377.5
11/05/2019,381.75,140692,383.25,384.75,380.5
11/04/2019,383.25,131680,386.75,387.75,383
11/01/2019,389.25,133939,389.25,391.75,386.25
