Date,Close/Last,Volume,Open,High,Low
01/07/2021,1.211,N/A,1.211,1.211,1.211
01/06/2021,1.2145,1,1.2155,1.2155,1.2155
01/05/2021,1.251,N/A,1.251,1.251,1.251
01/04/2021,1.2615,N/A,1.2615,1.2615,1.2615
12/31/2020,1.2825,N/A,1.2825,1.2825,1.2825
12/30/2020,1.254,N/A,1.254,1.254,1.254
12/29/2020,1.254,N/A,1.254,1.254,1.254
12/28/2020,1.2335,N/A,1.2335,1.2335,1.2335
12/24/2020,1.2595,N/A,1.2595,1.2595,1.2595
12/23/2020,1.2455,N/A,1.2455,1.2455,1.2455
12/22/2020,1.242,N/A,1.242,1.242,1.242
12/21/2020,1.243,N/A,1.243,1.243,1.243
12/18/2020,1.2525,N/A,1.2525,1.2525,1.2525
12/17/2020,1.266,N/A,1.266,1.266,1.266
12/16/2020,1.266,N/A,1.266,1.266,1.266
12/15/2020,1.2465,N/A,1.2465,1.2465,1.2465
12/14/2020,1.2615,N/A,1.2615,1.2615,1.2615
12/11/2020,1.216,N/A,1.216,1.216,1.216
12/10/2020,1.2105,N/A,1.2105,1.2105,1.2105
12/09/2020,1.1705,N/A,1.1705,1.1705,1.1705
12/08/2020,1.1925,N/A,1.1925,1.1925,1.1925
12/07/2020,1.191,N/A,1.191,1.191,1.191
12/04/2020,1.1755,N/A,1.1755,1.1755,1.1755
12/03/2020,1.2005,N/A,1.2005,1.2005,1.2005
12/02/2020,1.191,N/A,1.191,1.191,1.191
12/01/2020,1.1845,N/A,1.1845,1.1845,1.1845
11/30/2020,1.233,N/A,1.233,1.233,1.233
11/27/2020,1.242,N/A,1.242,1.242,1.242
11/25/2020,1.1715,N/A,1.1715,1.1715,1.1715
11/24/2020,1.159,N/A,1.159,1.159,1.159
11/23/2020,1.1705,N/A,1.1705,1.1705,1.1705
11/20/2020,1.1805,N/A,1.1805,1.1805,1.1805
11/19/2020,1.232,N/A,1.232,1.232,1.232
11/18/2020,1.1975,N/A,1.1975,1.1975,1.1975
11/17/2020,1.162,N/A,1.162,1.162,1.162
11/16/2020,1.1565,N/A,1.1565,1.1565,1.1565
11/13/2020,1.0925,N/A,1.0925,1.0925,1.0925
11/12/2020,1.101,N/A,1.101,1.101,1.101
11/11/2020,1.091,N/A,1.091,1.091,1.091
11/10/2020,1.073,N/A,1.073,1.073,1.073
11/09/2020,1.0685,N/A,1.0685,1.0685,1.0685
11/06/2020,1.0695,N/A,1.0695,1.0695,1.0695
11/05/2020,1.0595,N/A,1.0595,1.0595,1.0595
11/04/2020,1.03,N/A,1.03,1.03,1.03
11/03/2020,1.0345,N/A,1.0345,1.0345,1.0345
11/02/2020,1.028,N/A,1.028,1.028,1.028
10/30/2020,1.044,N/A,1.044,1.044,1.044
10/29/2020,1.046,N/A,1.046,1.046,1.046
10/28/2020,1.05,N/A,1.05,1.05,1.05
10/27/2020,1.0695,N/A,1.0695,1.0695,1.0695
10/26/2020,1.0665,N/A,1.0665,1.0665,1.0665
10/23/2020,1.056,N/A,1.056,1.056,1.056
10/22/2020,1.067,N/A,1.067,1.067,1.067
10/21/2020,1.0415,N/A,1.0415,1.0415,1.0415
10/20/2020,1.049,N/A,1.049,1.049,1.049
10/19/2020,1.0605,N/A,1.0605,1.0605,1.0605
10/16/2020,1.0725,N/A,1.0725,1.0725,1.0725
10/15/2020,1.095,N/A,1.095,1.095,1.095
10/14/2020,1.096,N/A,1.096,1.096,1.096
10/13/2020,1.101,N/A,1.101,1.101,1.101
10/12/2020,1.0915,N/A,1.0915,1.0915,1.0915
10/09/2020,1.1155,N/A,1.1155,1.1155,1.1155
10/08/2020,1.1025,N/A,1.1025,1.1025,1.1025
10/07/2020,1.096,N/A,1.096,1.096,1.096
10/06/2020,1.0765,N/A,1.0765,1.0765,1.0765
10/05/2020,1.072,N/A,1.072,1.072,1.072
10/02/2020,1.0895,N/A,1.0895,1.0895,1.0895
10/01/2020,1.0705,N/A,1.0705,1.0705,1.0705
09/30/2020,1.1095,N/A,1.1095,1.1095,1.1095
09/29/2020,1.0955,N/A,1.0955,1.0955,1.0955
09/28/2020,1.0955,N/A,1.0955,1.0955,1.0955
09/25/2020,1.1365,N/A,1.1365,1.1365,1.1365
09/24/2020,1.1115,N/A,1.1115,1.1115,1.1115
09/23/2020,1.105,N/A,1.105,1.105,1.105
09/22/2020,1.1065,N/A,1.1065,1.1065,1.1065
09/21/2020,1.12,N/A,1.12,1.12,1.12
09/18/2020,1.135,N/A,1.135,1.135,1.135
09/17/2020,1.18,N/A,1.18,1.18,1.18
09/16/2020,1.1985,N/A,1.1985,1.1985,1.1985
09/15/2020,1.218,N/A,1.218,1.218,1.218
09/14/2020,1.2305,N/A,1.2305,1.2305,1.2305
09/11/2020,1.3245,N/A,1.3245,1.3245,1.3245
09/10/2020,1.317,N/A,1.317,1.317,1.317
09/09/2020,1.2885,N/A,1.2885,1.2885,1.2885
09/08/2020,1.321,N/A,1.321,1.321,1.321
09/04/2020,1.34,N/A,1.34,1.34,1.34
09/03/2020,1.312,N/A,1.312,1.312,1.312
09/02/2020,1.313,N/A,1.313,1.313,1.313
09/01/2020,1.314,N/A,1.314,1.314,1.314
08/31/2020,1.2905,N/A,1.2905,1.2905,1.2905
08/28/2020,1.2635,N/A,1.2635,1.2635,1.2635
08/27/2020,1.2235,N/A,1.2235,1.2235,1.2235
